Title	Text	Added by	Date	Time limit	Source limit	Memory limit	Cluster	Languages	Resource	URL
MKMOOM - Making Mountains Out Of Molehills	"A macro processor is a symbol processing program. It takes a stream of characters as its input, and
produces a stream of characters as its output. A “macro” is similar to ordinary function in that it has a
definition, and when invoked, that definition is applied to the argument(s) to yield the result. In this
problem, you will develop a simple macro processor.


A “macro call” consists of a name and a list of arguments, separated by commas. The name is preceded by
'[' (a left bracket) and the last argument is followed by ']' (a right bracket). For example, “[doit,to,it]”
calls the macro named “doit” with two arguments, “to” and “it”. “[random]” calls the macro named “random”
with no arguments.


Before a macro can be called, it must be defined by associating its name with a symbol string. This
definition string may contain the special constructions “$1” through “$9” to reference the first through
the ninth macro parameters. “$0” references the macro’s name itself. When the macro is called, these
constructions are literally replaced by the values of the parameters. For example, suppose the definition
string for the macro named “321” was “$3-$2-$1”. The macro call “[321,This,is,fun]” would yield the output
“fun-is-This”. A macro call can appear anywhere. For example, the macro call “[321,[321,A,B,C],D,E]” would
yield the output “E-D-C-B-A”.


Input enclosed in '<' and '>' prevents the evaluation of the text enclosed, allowing special characters like
'[', ']', ',' and '$' to be used in other than their usual contexts. Thus the macro call “[321,<$>,<[>,<,>]” would
yield “,-[-$”.


Macros are defined using the predefined macro named “def”, which has two arguments. The first argument
is the name of the macro being defined, and the second argument is the defining symbol string for the
macro. The “321” macro definition is “[def,321,<$3-$2-$1>]”. Note that the definition is enclosed in '<' and
'>' to prevent “$1”, “$2”, and “$3” from being interpreted as parameter references to def. The def macro
produces no output. Naturally, the def macro isn’t defined using def, but is treated specially by the
implementation.


Processing
The input stream is processed character by character and copied to the output until a macro call is
encountered, or the input is exhausted (which terminates processing). A macro call is evaluated as
described below, with the result (if any) copied to the output.



The macro name and the parameters are evaluated in sequence from left to right. This may require
evaluating additional macro calls, which must be processed recursively.
When the argument list is complete (that is, when the closing ']' is encountered) the definition of
the macro being called is scanned in the same manner as the original input stream except that
occurrences of “$0”, “$1”, and so forth are replaced literally by the corresponding arguments. The
result of the macro call is the symbol stream produced by this scan.
When the macro call is completed, the macro name and the arguments are discarded, and processing
resumes at the point where it was interrupted by the macro call.


Limits and Caveats
Macro names and arguments will contain no more than 32 characters each. The defining string for a macro
will contain no more than 100 characters. Macros will never be defined more than once (that is, the same
macro name will not be used more than once as the first argument to “def”). Macro calls will always provide
the correct number of arguments. Character case is significant in comparisons. All input characters,
including end of line characters, are to be processed through the macro processor. No output line will
contain more than 80 characters, including the end of line character. The input is guaranteed to be correct.

Input
There will be multiple cases to consider. The input for each case begins with a line containing a single
integer between 1 and 10, that specifies the number of lines of text immediately following that will be used
as input to the macro processor. None of these lines will contain more than 80 characters, so the input to
the macro processor will contain at most 810 characters. The last case will be followed by a line containing
the integer 0.

Output
For each input case, display the case number (1, 2, …), a line containing 79 hyphens, the output from the
macro processor, another line containing 79 hyphens, and a blank line.


In the sample input shown below, assume that the last visible character on each line is immediately followed
by the end of line character. Blank lines in the expected output are shown here as **BLANK** for clarity,
but these should actually be totally blank in your output.

Example

Input:
1
This is just copied (including end of line).
1
[def,321,<$3-$2-$1>][321,This,is,fun]
1
[def,321,<$3-$2-$1>][321,[321,A,B,C],D,E]
1
[def,321,<$3-$2-$1>][321,This,is,fun][321,[321,A,B,C],D,E]
3
[def,321,<$3-$2-$1>]
[321,This,is,fun]
[321,[321,A,B,C],D,E]
3
[def,A,<$1[B]$2>]
[def,B,*B*]
[A,1,2]
2
[def,#,<[-]$1[-]$2[-]$3[-]>][def,-,<$0>][def,DEF,def][[DEF],X,THIS IS X]
[X][#,DEF,#,X]
0

Output:
Case 1
-------------------------------------------------------------------------------
This is just copied (including end of line).
-------------------------------------------------------------------------------
**BLANK**
Case 2
-------------------------------------------------------------------------------
fun-is-This
-------------------------------------------------------------------------------
**BLANK**
Case 3
-------------------------------------------------------------------------------
E-D-C-B-A
-------------------------------------------------------------------------------
**BLANK**
Case 4
-------------------------------------------------------------------------------
fun-is-ThisE-D-C-B-A
-------------------------------------------------------------------------------
**BLANK**
Case 5
-------------------------------------------------------------------------------
**BLANK**
fun-is-This
E-D-C-B-A
-------------------------------------------------------------------------------
**BLANK**
Case 6
-------------------------------------------------------------------------------
**BLANK**
**BLANK**
1*B*2
-------------------------------------------------------------------------------
**BLANK**
Case 7
-------------------------------------------------------------------------------
**BLANK**
THIS IS X-DEF-#-X-
-------------------------------------------------------------------------------
**BLANK**"	Camilo AndrÃ©s Varela LeÃ³n	2007-10-07	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	North Central North America Regional Programming Contest - 2003	https://www.spoj.com//problems/MKMOOM
MKLABELS - Making Labels	"Trees comes in many varieties other than the popular binary tree. In general, a tree is a connected acyclic
graph. That is, it consists of some number of vertices N (which we’ll assume is at least one in this problem),
and N – 1 edges, each of which connects a pair of vertices.


A “labeled tree” is a tree in which each vertex has been given a “label.” For simplicity, let us assume these
labels are the integers 1 through N. In how many different ways may a tree with N vertices be labeled? By
“different” we mean that no rearrangement of two trees with the same number of vertices with different
labeling will be identical. (Note that although we commonly associate data with each vertex, and identify
one vertex as the root of the tree, that’s not significant in this problem.)


Let’s consider some examples. The figure below shows all possible arrangements of trees with N = 1, 2, 3,
4, or 5 vertices. The number shown below each tree is the number of different ways in which the vertices
in each tree can be labeled.




Clearly a tree with only one vertex can be labeled in only one way – by assigning the label “1” to the single
vertex. A tree with two vertices can also be labeled in only one way. For example, although the two trees
shown on the left below appear to be different, the first can be easily transformed into the second.
(Imagine the edges are strings, so the vertices can be easily repositioned without losing their connectivity.)




There are, however, three possible ways to label the vertices in a 3-vertex tree, as shown on the right
above. No matter how you rearrange the labeled vertices in any of the three trees, you cannot produce any
of the other labeled trees.


In a similar manner, the various arrangements of four vertices in a tree yield a total of 16 possible labelings
– 12 for the four vertices “in a row,” and 4 for the other configuration. There are three possible
arrangements of the vertices in a tree with N = 5, with a total of 125 possible

Input
There will be multiple cases to consider. The input for each case is an integer N specifying the number of
vertices in a tree, which will always be between 1 and 10. The last case will be followed by a zero.

Output
For each input case, display the case number (1, 2, …), the input value of N, and the number of different
ways in which a tree with N vertices may be labeled. Use the format shown in the examples below.

Example

Input:
2
3
4
5
0

Output:
Case 1, N = 2, # of different labelings = 1
Case 2, N = 3, # of different labelings = 3
Case 3, N = 4, # of different labelings = 16
Case 4, N = 5, # of different labelings = 125"	Camilo AndrÃ©s Varela LeÃ³n	2007-10-07	0.100s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	North Central North America Regional Programming Contest - 2003	https://www.spoj.com//problems/MKLABELS
MKBUDGET - Making A Budget	"A company uses temporary employees (“temps”) to handle its varying workloads. By doing so, it avoids having
to pay for benefits normally provided to its permanent employees. However, the company must pay an
employment agency a fixed fee for each temp they hire, as well as paying the temp a fixed amount of
severance pay when they are terminated – in addition, of course, to the monthly salary each temp receives.
The company has a good understanding of when it needs temporary workers, and how many such workers it
will require each month. Depending on the fee paid to the employment agency, the temporary worker’s
salary, and the severance pay, it may make sense to retain an unneeded worker for one or more months if
it’s known that they will be needed again in the future.


Let’s consider an example. Suppose we know that in March the company will need 10 temps, in April they’ll
need 9, and in May they’ll need 11. Suppose a temp earns $500 per month, that the employment agency
receives $400 for each temp hired, and $600 is paid as severance to each temp that is terminated. If the
company employs just the minimum number of temps required, then their payments will be as follows (we
ignore the cost of terminating all employees at the end of the last month):





The total cost to the company is $20,400. But suppose they did not terminate the unneeded temp at the
end of March, but just let that person remain employed. They would then save $400 in employment agency
fees (since they’d need to hire just one additional temp for May), $600 in severance pay, and only have to
pay the temp worker $500, for an overall savings of $500.


In this problem you are given, as input, the number of months for which the company is to plan its temp
worker budget, the cost of hiring and firing a temp worker, the temp worker’s monthly salary, and the
required minimum number of workers needed each month. You are to determine the minimum cost to the
company to have at least the required minimum number of workers on hand each month. Assume there are
no temporary workers on hand before the first month, and that the cost of terminating the workers at the
end of the last month is not to be included in the cost. You may assume that the planning interval will be no
longer than 24 months, and the hiring cost, severance pay, and monthly salary for each temp worker is
greater than zero.

Input
There will be multiple cases to consider. The input for each case begins with an integer N, the number of
months for which planning is required (never larger than 24). This is followed by three integers giving the
cost of hiring a worker, the worker’s monthly salary, and the severance pay for a terminated worker. Finally
there will appear N integers giving the required minimum number of workers needed in each month. The last
case will be followed by a zero.

Output
For each input case, display the case number (1, 2, …) and the minimum cost to the company. Use the format
shown in the examples below.

Example

Input:
3 400 500 600 10 9 11
8 400 600 600 11 9 10 14 9 9 13 15
0

Output:
Case 1, cost = $19900
Case 2, cost = $66600"	Camilo AndrÃ©s Varela LeÃ³n	2007-10-07	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	North Central North America Regional Programming Contest - 2003	https://www.spoj.com//problems/MKBUDGET
ACARGO - Accumulate Cargo	"A cargo shipment containing N (1 <= N <= 105) boxes, has just arrived and it requires some regrouping. 
All the cargo is currently placed on a long circular conveyor belt of length L metres (1 <= L <= 109), 
which you can control and perform the following operations.

Rotate the wheel clock wise or anti-clockwise (free of cost).
Hold the cargo at some point and not let it move, while the belt is rolling. 
This causes the cargo behind it to come closer to this cargo by one step. 
Any consecutive sequence of cargo is grouped together and called as a luggage. The aim of the program is to group all cargo as a single luggage. Now the cost of this holding operation for one second is equal to the weight of the luggage that is held fixed. Also please note that you can hold the luggage only at ends of the luggage and never at inbetween points.

Each unit of cargo weighs exactly one Kg. The conveyor belt rotates at a speed of one meters per second.
This cost function directly reflects the human effort required to group the cargo. Workers would be happy if you can write a program that prints the minimal required effort to group the cargo, assuming an intelligent sequence of operations."	Prasanna	2007-10-08	0.100s-1.621s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	NITT ACM ICPC Local Contest 2007 [Idea from a Topcoder problem]	https://www.spoj.com//problems/ACARGO
BWHEELER - Burrows Wheeler Precompression	"The Burrows-Wheeler transform (BWT, also called block-sorting compression), is an algorithm used in data compression techniques such as bzip2. It was invented by Michael Burrows and David Wheeler.
When a character string is transformed by the BWT, none of its characters change value. The transformation permutes the order of the characters. If the original string had several substrings that occurred often, then the transformed string will have several places where a single character is repeated multiple times in a row. This is useful for compression, since it tends to be easy to compress a string that has runs of repeated characters by techniques such as move-to-front transform and run-length encoding.
For example, the string:
SIX.MIXED.PIXIES.SIFT.SIXTY.PIXIE.DUST.BOXES

could be transformed into this string, which is easier to compress because it has many repeated characters:
 TEXYDST.E.IXIXIXXSSMPPS.B..E.S.EUSFXDIIOIIIT


Now the Burrows-Wheeler algorithm works as follows:

 Given an input string S, eg: ""abcba"".
 Find all rotations of S. 

eg: ""abcba"", ""bcbaa"", ""cbaab"", ""baabc"", ""aabcb""

 Now sort the strings hence produced.

eg: ""aabcb"", ""abcba"", ""baabc"", ""bcbaa"", ""cbaab""

 Arrange the strings in a len(S) x len(S) grid.

aabcb
abcba
baabc
bcbaa
cbaab

 Output the row number (1-based indexing) containing the original input string. Also output the strings formed by characters in the last column.
eg: 2 bacab



Now given the output of Burrows-Wheeler, can you recover the orginal string?


Input Format:
The input file consists of multiple testcases. 
The first line of each testcase contains one integer, R, indicating the row number containing the original input string in the sorted matrix. 
The second line of each testcase contains one string, Col, which is the last column of the grid. (1 <= len(Col) <= 1000) 
Col contains only lowercase characters. 1 <= R <= len(Col).
Input terminates with a line containing R=0 which must not be processed. 

Output Format:
Print the original input string to the burrow wheeler's algorithm.

Testdata:
30 testcases
Sample Input:

2
bacab
3
rwlb
11
baaabaaaabbbaba
0

Sample Output:

abcba
rbwl
baaabbbbaaaaaab"	Prasanna	2007-10-08	0.200s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	NITT ACM ICPC Local Contest 2007 [Wikipedia/General]	https://www.spoj.com//problems/BWHEELER
COOLNUMS - Cool Numbers	"Cool numbers are those, whose digits can be partitioned into two sets such that the sum of the digits in either sets are equal. 
Example: 23450 is cool because 3+4+0 = 2+5; So is 91125;
The numbers 567, 34523 are not cool, since there is no such digit partition.

Write a program that prints the number of cool numbers in the inclusive range [A,B]."	Prasanna	2007-10-08	5.673s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	NITT ACM ICPC Local Contest 2007 [Topcoder problem with Constraints raised]	https://www.spoj.com//problems/COOLNUMS
DRAGONCU - Dragon Curves	"Define r(s) to be the complement of the reverse of the binary string s. i.e. Reverse s and then convert all 1's to 0's and all 0's to 1's. 
Further define a sequence of binary string as follow: s0 = 1 and sn = sn-11r(sn-1). i.e.
s0 = 1
s1 = 110
s2 = 1101100
s3 = 110110011100100
...

We then program a robot to move at a steady speed of 1 unit per second and make a right-angle turn according to the characters of s10 after every unit of movement. At the kth turn, the robot turns to left if the kth character of s10 is a 1, and to right otherwise. The figure below shows the whole path of the robot.


The robot is placed at the origin (the small circle) and face east originally. It ends up at the coordinates (-32,32) (the small spot) after 2048 seconds. The path of the robot is known as a dragon curve, a pretty well-known pattern of fractal. 

If the robot is now programmed with input string s30 (with identical initial conditions as above), it will keep moving and then stop after 231 seconds. We want to know the location of the robot at any given time."	Prasanna	2007-10-08	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	NITT ACM ICPC Local Contest 2007 [Tsinghua]	https://www.spoj.com//problems/DRAGONCU
DETER2 - Find The Determinant II	"In this problem you have to calculate the determinant of an N x N matrix whose entries are given by m[i][j] = gcd(i,j)k, 1 ≤ i,j ≤ N.
Here gcd(i,j) denotes the greatest common divisor of i and j.
As the determinant D can grow very large, you have to print D%1000003.

Input
First line of input consists of a single integer containing the number of test cases T ( equal to around 20), each of the following T lines contain two integers N and k where N is the size of the matrix and k is the exponent.
1 ≤ N ≤ 1000000
1 ≤ k ≤ 109
Output
One line corresponding to each test case containing the determinant modulo 1000003 for the corresponding test case.

Example

Input:
3
4 2
2 4
4 3


Output:
288
15
10192

Note: You may want to solve DETER first, in case you havent already solved it."	Ajay Somani	2007-09-07	1s	2048B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	"""The Art of Computer Programming"""	https://www.spoj.com//problems/DETER2
ALL - All Discs Considered	"Operating systems are large software artefacts composed of many packages, usually distributed on several media, e.g., discs.
You probably remember the time when your favourite operating system was delivered on 21 floppy discs, or, a few years later, on 6 CDs.
Nowadays, it will be shipped on several DVDs, each containing tens of thousands of packages.



The installation of certain packages may require that other packages have been installed previously.
Therefore, if the packages are distributed on the media in an unsuitable way, the installation of the complete system requires you to perform many media changes, provided that there is only one reading device available, e.g., one DVD-ROM drive.
Since you have to start the installation somehow, there will of course be one or more packages that can be installed independently of all other packages.



Given a distribution of packages on media and a list of dependences between packages, you have to calculate the minimal number of media changes required to install all packages.
For your convenience, you may assume that the operating system comes on exactly 2 DVDs.

Input

The input contains several test cases.
Every test case starts with three integers N1, N2, D.
You may assume that 1<=N1,N2<=50000 and 0<=D<=100000.
The first DVD contains N1 packages, identified by the numbers 1, 2, ..., N1.
The second DVD contains N2 packages, identified by the numbers N1+1, N1+2, ..., N1+N2.
Then follow D dependence specifications, each consisting of two integers xi, yi.
You may assume that 1<=xi,yi<=N1+N2 for 1<=i<=D.
The dependence specification means that the installation of package xi requires the previous installation of package yi.
You may assume that there are no circular dependences.
The last test case is followed by three zeros.


Output

For each test case output on a line the minimal number of DVD changes required to install all packages.
By convention, the DVD drive is empty before the installation and the initial insertion of a disc counts as one change.
Likewise, the final removal of a disc counts as one change, leaving the DVD drive empty after the installation.

Example

Input:
3 2 1
1 2
2 2 2
1 3
4 2
2 1 1
1 3
0 0 0

Output:
3
4
3"	Wanderley GuimarÄes	2007-09-14	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/ALL
BOOLE - Boolean Logic	"Propositions are logical formulas consisting of proposition symbols and connecting operators.
They are recursively defined by the following rules:


All proposition symbols (in this problem, lower-case alphabetic characters, e.g., a and z) are propositions.

If P is a proposition, (!P) is a proposition, and P is a direct subformula of it.
If P and Q are propositions, (P&Q), (P|Q), (P-->Q), and (P<->Q) are propositions, and P and Q are direct subformulas of them.

Nothing else is a proposition.


The operations !, &, |, -->, and <-> denote logical negation, conjunction, disjunction, implication, and equivalence, respectively.
A proposition P is a subformula of a proposition R if P=R or P is a direct subformula of a proposition Q and Q is a subformula of R.




Let P be a proposition and assign boolean values (i.e., 0 or 1) to all proposition symbols that occur in P.
This induces a boolean value to all subformulas of P according to the standard semantics of the logical operators:





negation
conjunction
disjunction
implication
equivalence

!0=1
0&0=0
0|0=0
0-->0=1
0<->0=1

!1=0
0&1=0
0|1=1
0-->1=1
0<->1=0


1&0=0
1|0=1
1-->0=0
1<->0=0


1&1=1
1|1=1
1-->1=1
1<->1=1




This way, a value for P can be calculated.
This value depends on the choice of the assignment of boolean values to the proposition symbols.
If P contains n different proposition symbols, there are 2n different assignments.
To evaluate all possible assignments we may use truth tables.




A truth table contains one line per assignment (i.e., 2n lines in total).
Every line contains the values of all subformulas under the chosen assignment.
The value of a subformula is aligned with the proposition symbol, if the subformula is a proposition symbol, and with the center of the operator otherwise.

Input Specification


The input contains several test cases, each on a separate line.
Every test case denotes a proposition and may contain arbitrary amounts of spaces in between.
The input file terminates immediately after the newline symbol following the last test case.

Output Specification


For each test case generate a truth table for the denoted proposition.
Start the truth table by repeating the input line.
Evaluate the proposition (and its subformulas) for all assignments to its variables, and output one line for each assignment.
The line must have the same length as the corresponding input line and must consist only of spaces and the characters 0 and 1.
Output an empty line after each test case.




Let s1,...,sn be the proposition symbols in the denoted proposition sorted in alphabetic order.
Then, all assignments of 0 to s1 must precede the assignments of 1 to s1.
Within each of these blocks of assignments, all assignments of 0 to s2 must precede the assignments of 1 to s2, and so on.


Sample Input


((b --> a) <-> ((! a) --> (! b)))
  ((y &  a)   -  ->(c |c))

Sample Output


((b --> a) <-> ((! a) --> (! b)))
  0  1  0   1    1 0   1   1 0   
  1  0  0   1    1 0   0   0 1   
  0  1  1   1    0 1   1   1 0   
  1  1  1   1    0 1   1   0 1   

  ((y &  a)   -  ->(c |c))
    0 0  0       1  0 00  
    1 0  0       1  0 00  
    0 0  0       1  1 11  
    1 0  0       1  1 11  
    0 0  1       1  0 00  
    1 1  1       0  0 00  
    0 0  1       1  1 11  
    1 1  1       1  1 11"	Wanderley GuimarÄes	2007-09-14	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/BOOLE
DNALAB - DNA Laboratory	"Having started to build his own DNA lab just recently, the evil doctor Frankenstein is not quite
  up to date yet. He wants to extract his DNA, enhance it somewhat and clone himself. He has
  already figured out how to extract DNA from some of his blood cells, but unfortunately reading
  off the DNA sequence means breaking the DNA into a number of short pieces and analyzing those
  first. Frankenstein has not quite understood how to put the pieces together to recover the original sequence."	AndrÃ©s Leonardo Rojas Duarte	2007-09-15	2.052s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	TUD Programming Contest 2004	https://www.spoj.com//problems/DNALAB
ICAMPSEQ - IOICamp Sequence	"Let's say we have 4 N-elements sequences of real numbers: A[], B[], C[], D[] .
Funtion F(i, j) is defined: F(i, j) = |Ai - Aj| + |Bi - Bj| + |Ci - Cj| + |Di - Dj| (1 â¤ i, j â¤ N).
Your task is very easy: you have to find the maximum of F(i, j).

Input
The first line: N (N â¤ 100000).
Following are N lines: the i-th line contains four real numbers Ai, Bi, Ci, Di. (-109 â¤ Ai, Bi, Ci, Di â¤ 109)

Output
Only one line is the maximum of F(i, j).
(The result takes exactly 3 decimal places)
Example

Input:
2
1.0 1.0 2.0 0.5
1.0 1.0 0.5 2.0

Output:
3.000"	Nghia Nguyen Hoang	2007-09-18	0.100s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO NODEJS PERL6 VB.NET	IOICamp and Ms. Thanh Vy Hua Le	https://www.spoj.com//problems/ICAMPSEQ
CODE - Code	KEY Inc., the leading company in security hardware, has developed a new kind of safe. To unlock it, you don't need a key but you are required to enter the correct n-digit code on a keypad (as if this were something new!). There are several models available, from toy safes for children (with a 2-digit code) to the military version (with a 6-digit code).	Wanderley GuimarÄes	2007-09-19	0.200s	50000B	1536MB	Cube (Intel G860)	All	University of Ulm Local Contest 2004	https://www.spoj.com//problems/CODE
DANGER - In Danger	"Flavius Josephus and 40 fellow rebels were trapped by the Romans.
His companions preferred suicide to surrender, so they decided to form a circle and to kill every third person and to proceed around the circle until no one was left.
Josephus was not excited by the idea of killing himself, so he calculated the position to be the last man standing (and then he did not commit suicide since nobody could watch)."	Wanderley GuimarÄes	2007-09-19	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/DANGER
ENCONDIN - Run Length Encoding	Your task is to write a program that performs a simple form of run-length encoding, as described by the rules below.	Wanderley GuimarÄes	2007-09-19	0.303s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/ENCONDIN
FRACTAN - Fractan	Formally, we define a sequence by S0=N, and Sj+1=fiSj, if for 1<=i<=k, the number fiSj is an integer but the numbers f1Sj, ..., fi-1Sj are not.	Wanderley GuimarÄes	2007-09-19	0.303s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/FRACTAN
GREEDULM - HuffmanÂ´s Greed	"In the following we define the basic terminology of trees.
A tree is defined inductively: It has a root which is either an external node (a leaf), or an internal node having a sequence of trees as its children.
An internal node is also called the parent of the roots of its child trees.
The level of a node in a tree is defined inductively: The root has level 0, and the level of a node is 1 more than the level of its parent node."	Wanderley GuimarÄes	2007-09-19	1s	50000B	1536MB	Cube (Intel G860)	All except: ERL JS-RHINO	University of Ulm Local Contest 2004	https://www.spoj.com//problems/GREEDULM
